매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
1111,-9,-19,-0.81,-1.70,-4.49,141.41,56.07,156.81,-59,-16.86,1286,0.78,-,-,-,,,,
2320.0,75.0,33.0,3.21,1.41,1.74,108.44,59.07,1701.67,156.0,74.6,9099.0,1.27,150.0,1.29,95.09,,,,
3646.0,236.0,215.0,6.46,5.9,11.65,56.64,136.55,1513.46,863.0,5.16,8026.0,0.55,190.0,4.27,20.92,,,,
10140.0,401.0,203.0,3.96,2.0,6.72,196.82,48.38,2604.89,899.0,10.45,13439.0,0.7,50.0,0.53,5.56,,,,
11390.0,1057.0,784.0,9.28,6.88,7.7,43.23,93.71,15105.26,5597.0,6.66,76699.0,0.49,500.0,1.34,8.77,,,,
6468.0,947.0,723.0,14.64,11.17,14.26,33.95,117.4,1977.29,13849.0,4.3,103836.0,0.57,625.0,1.05,4.51,,,,
4271.0,63.0,145.0,1.47,3.39,1.66,8.83,1144.77,1652.42,1437.0,25.67,88549.0,0.42,1000.0,2.71,67.87,,,,
14250.0,845.0,740.0,5.93,5.19,12.98,88.37,51.54,1577.35,2072.0,21.19,16730.0,2.62,220.0,0.5,10.62,,,,
1569.0,114.0,195.0,7.24,12.46,32.25,169.45,65.52,342.99,562.0,2.66,2500.0,0.6,60.0,4.01,8.47,,,,
,,,,,,,,,,,,,,,,"4,851  억원",73830123,,
300050.0,50462.0,36424.0,16.82,12.14,9.09,1217.47,,1475.4,7003.0,6.19,81997.0,0.53,1850.0,4.27,25.97,,,,
4222,18,-97,0.43,-2.30,-3.97,68.89,109.74,2220.27,-416,-24.65,9464,1.08,-,-,-,,,,
997.0,109.0,93.0,10.91,9.31,,16.57,190.41,1020.31,418.0,7.45,6648.0,0.47,40.0,1.28,7.74,,,,
2326,20,3,0.87,0.11,0.38,185.47,81.85,216.57,6,279.64,1646,0.99,,,-,,,,
23597.0,1483.0,998.0,6.28,4.23,7.79,59.83,68.59,8116.36,26861.0,20.63,376620.0,1.47,7500.0,1.35,26.27,,,,
20233.0,3276.0,2205.0,16.19,10.9,14.24,47.06,96.61,4940.01,5453.0,19.35,41050.0,2.57,600.0,0.57,11.0,,,,
889.0,-20.0,-140.0,-2.21,-15.74,-10.49,50.59,187.92,744.94,-620.0,-6.77,5704.0,0.74,100.0,2.38,-17.02,,,,
2696,-197,-365,-7.32,-13.54,-30.75,175.93,54.07,60.83,-634,-2.25,1900,0.75,-,-,-,,,,
2213.0,345.0,309.0,15.58,13.97,12.79,29.85,211.93,3312.62,1907.0,9.62,17201.0,1.07,330.0,1.8,15.83,,,,
4942.0,56.0,-78.0,1.13,-1.58,-4.47,170.91,56.58,2497.59,-545.0,-9.07,12354.0,0.4,100.0,2.02,-17.56,,,,
4782,65,-440,1.35,-9.21,-14.20,133.10,101.08,1029.30,-902,-2.46,6221,0.36,-,-,-,,,,
3758.0,74.0,19.0,1.97,0.49,2.05,285.16,103.17,215.38,34.0,36.96,1688.0,0.75,15.0,1.18,43.66,,,,
