매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
14259.0,1136.0,809.0,7.96,5.67,19.66,180.25,56.21,953.48,1066.0,11.17,6123.0,1.94,45.0,0.38,4.12,,,,
2065.0,69.0,75.0,3.33,3.61,2.55,26.39,269.07,1870.54,3388.0,11.81,134845.0,0.3,1250.0,3.13,36.89,,,,
1592.0,262.0,186.0,16.44,11.69,,11.09,420.11,2837.25,1005.0,15.37,17933.0,0.86,300.0,1.94,24.5,,,,
31756.0,2021.0,1500.0,6.36,4.72,4.25,140.83,32.58,6917.55,4921.0,16.08,120034.0,0.66,5000.0,6.32,98.04,,,,
18125.0,1539.0,878.0,8.49,4.85,21.37,353.81,73.85,2677.9,27530.0,5.25,143089.0,1.01,5000.0,3.46,18.09,,,,
42682,444,384,1.04,0.90,5.51,1676.58,,118.51,590,5.20,10926,0.28,-,-,-,,,,
59461.0,1966.0,1514.0,3.31,2.55,26.46,248.93,68.71,3372.48,8758.0,19.35,36040.0,4.7,2700.0,1.59,30.81,,,,
104166.0,7673.0,4475.0,7.37,4.3,11.79,217.91,92.34,906.31,5552.0,5.59,50056.0,0.62,1000.0,3.22,17.91,,,,
623062.0,24361.0,1799.0,3.91,0.29,0.22,173.12,74.78,1634.72,173.0,416.75,79582.0,0.91,750.0,1.04,434.42,,,,
8177.0,126.0,209.0,1.54,2.56,3.45,92.82,144.32,545.85,1079.0,19.27,32810.0,0.63,150.0,0.72,13.47,,,,
930,48,8,5.13,0.81,0.59,56.90,55.49,638.50,17,102.96,2893,0.60,-,-,-,,,,
741.0,10.0,10.0,1.37,1.3,2.83,91.18,97.7,470.07,793.0,27.05,28118.0,0.76,100.0,0.47,12.61,,,,
978115.0,37359.0,16060.0,3.82,1.64,4.3,154.16,79.31,119875.22,10108.0,25.92,315570.0,0.83,5000.0,1.91,37.37,,,,
49311.0,1896.0,1541.0,3.84,3.13,9.85,145.81,76.16,3606.85,17212.0,4.92,185881.0,0.46,2971.0,3.51,16.71,,,,
50211.0,1739.0,2502.0,3.46,4.98,11.52,115.22,70.77,2400.51,8844.0,2.96,82553.0,0.32,700.0,2.68,7.95,,,,
6409,415,163,6.48,2.54,5.51,377.22,31.99,2444.97,735,16.06,9893,1.19,-,-,-,,,,
,,,,,,,,,,,,,,,,1조  142  억원,196554079,,
2540,-107,-359,-4.21,-14.13,-24.22,244.26,48.05,479.85,-1278,-2.39,4630,0.66,-,-,-,,,,
1136,45,-42,3.98,-3.74,-3.48,40.16,100.48,204.78,-55,-24.69,1562,0.88,-,-,-,,,,
2717.0,229.0,89.0,8.42,3.26,2.26,46.06,228.27,5767.49,3850.0,9.52,180241.0,0.2,500.0,1.36,12.4,,,,
2231,-42,-45,-1.91,-2.03,-7.94,104.22,133.41,288.90,-212,-5.83,2392,0.52,,,-,,,,
1111,56,-48,5.01,-4.29,-7.35,120.81,74.96,127.70,-236,-17.94,3156,1.34,-,-,-,,,,
1727,92,-109,5.33,-6.31,-14.85,228.35,73.66,167.70,-247,-9.71,1725,1.39,-,-,-,,,,
23692,574,-434,2.42,-1.83,-3.29,203.99,68.57,-10.36,-151,-27.76,4500,0.93,-,-,-,,,,
3248,116,145,3.56,4.46,8.33,65.01,141.78,229.91,131,24.65,1621,1.99,-,-,-,,,,
5367.0,413.0,366.0,7.69,6.82,4.03,31.92,59.43,3888.35,7887.0,9.95,198514.0,0.4,2000.0,2.55,25.36,,,,
2162,31,19,1.42,0.87,1.51,74.11,102.05,1474.23,123,56.65,8222,0.85,-,-,-,,,,
20743.0,1138.0,1063.0,5.49,5.13,6.11,13.94,331.19,4252.26,16360.0,7.18,287983.0,0.41,2500.0,2.13,14.52,,,,
5138.0,1546.0,1103.0,30.09,21.46,18.93,66.07,204.71,7201.94,6040.0,8.25,38381.0,1.3,350.0,0.7,5.35,,,,
1246.0,78.0,65.0,6.26,5.19,4.79,41.46,207.2,2031.02,473.0,14.53,11682.0,0.59,250.0,3.64,45.4,,,,
5054.0,416.0,1405.0,8.23,27.81,10.53,9.42,1212.08,2486.87,1373.0,12.67,13550.0,1.28,700.0,4.02,50.45,,,,
8498.0,518.0,250.0,6.1,2.94,2.0,103.27,76.0,559.87,124.0,42.1,6403.0,0.82,200.0,3.83,156.15,,,,
5391.0,-201.0,-23.0,-3.73,-0.42,-0.05,24.2,116.1,732.5,-2.0,-882.76,4063.0,0.35,40.0,2.79,-2094.47,,,,
1634,37,18,2.27,1.09,2.24,105.68,65.54,34.48,15,69.50,671,1.55,-,-,-,,,,
10424.0,752.0,468.0,7.21,4.49,8.69,101.23,121.99,234.62,1474.0,19.94,17664.0,1.66,500.0,1.7,33.69,,,,
1274.0,10.0,11.0,0.77,0.88,0.85,12.62,447.94,1638.64,66.0,34.58,7695.0,0.3,9.0,0.39,13.43,,,,
8543.0,441.0,321.0,5.16,3.75,4.73,59.08,137.31,2708.33,623.0,9.03,13946.0,0.4,150.0,2.66,23.2,,,,
2417,-150,-175,-6.22,-7.25,-18.17,108.34,34.62,-1.01,-512,-6.49,2593,1.28,-,-,-,,,,
,,,,,,,,,,,,,,,,"4조  5,343  억원",404845547,,
223151.0,9623.0,7871.0,4.31,3.53,15.26,935.99,,8309.75,2841.0,4.15,20399.0,0.58,550.0,4.66,18.61,,,,
869,-20,-254,-2.32,-29.19,-40.07,67.71,121.95,112.14,-2506,-2.61,5437,1.20,-,-,-,,,,
2076.0,97.0,114.0,4.67,5.47,2.8,8.08,1188.77,2484.26,344.0,25.72,18539.0,0.48,300.0,3.39,58.14,,,,
34858.0,1407.0,1095.0,4.04,3.14,4.98,1527.03,,139.73,553.0,7.48,14639.0,0.28,170.0,4.11,35.2,,,,
1547.0,155.0,135.0,10.01,8.73,14.07,16.57,274.1,4614.07,6166.0,7.23,50578.0,0.88,1000.0,2.24,14.95,,,,
4689.0,320.0,62.0,6.83,1.33,4.9,132.43,88.88,967.04,282.0,31.9,5987.0,1.5,100.0,1.11,34.68,,,,
2761,115,197,4.15,7.14,32.82,97.81,175.33,243.86,794,4.12,2819,1.16,-,-,-,,,,
7016,917,496,13.08,7.07,1.44,39.69,97.46,1564.97,741,577.28,40885,10.47,-,-,-,,,,
66562.0,5176.0,3918.0,7.78,5.89,8.15,803.76,,979.5,4388.0,8.8,55423.0,0.7,1700.0,4.4,38.74,,,,
32934.0,4497.0,3441.0,13.65,10.45,5.04,219.56,,1087.44,2970.0,13.0,64628.0,0.6,1600.0,4.14,49.62,,,,
2742.0,92.0,324.0,3.35,11.82,9.59,29.25,224.68,3958.1,1809.0,8.79,20113.0,0.79,334.0,2.1,18.02,,,,
1211.0,48.0,8.0,3.98,0.65,1.33,195.28,83.32,898.21,60.0,174.02,5083.0,2.07,75.0,0.71,116.87,,,,
1471,67,47,4.56,3.18,2.56,11.73,266.07,1377.02,1868,17.58,73851,0.44,,,-,,,,
342,-54,-80,-15.81,-23.50,-6.42,208.12,,60.61,-93,-14.28,1622,0.82,-,-,-,,,,
2808.0,310.0,268.0,11.04,9.55,18.57,43.8,112.73,6807.63,5870.0,5.79,34388.0,0.99,200.0,0.59,3.41,,,,
19768.0,219.0,-483.0,1.11,-2.44,-7.35,192.88,70.81,4347.27,-1721.0,-2.87,22612.0,0.22,100.0,2.03,-5.81,,,,
419.0,-44.0,-29.0,-10.4,-6.85,-1.91,17.6,292.79,933.72,-143.0,-31.13,7390.0,0.6,135.0,3.03,-93.38,,,,
7074.0,208.0,174.0,2.94,2.46,4.43,157.18,42.9,195.88,690.0,10.11,16107.0,0.43,150.0,2.15,21.59,,,,
29365.0,438.0,192.0,1.49,0.65,0.93,80.37,70.09,702.54,480.0,31.78,51897.0,0.29,300.0,1.97,62.06,,,,
8143.0,593.0,350.0,7.28,4.3,8.25,105.76,68.51,3517.82,1448.0,10.74,17944.0,0.87,150.0,0.96,10.36,,,,
4028,72,21,1.79,0.52,1.77,240.99,41.38,110.26,12,78.78,835,1.14,-,-,-,,,,
13201.0,222.0,44.0,1.68,0.33,1.38,132.71,61.68,1538.94,1124.0,62.54,81373.0,0.86,750.0,1.07,66.72,,,,
15385.0,2292.0,1311.0,14.9,8.52,6.99,86.97,87.79,265.98,259.0,21.93,3564.0,1.59,420.0,7.41,162.48,,,,
407,-30,-45,-7.27,-10.94,-14.38,73.27,62.27,21.89,-224,-6.12,1915,0.72,,,-,,,,
62843.0,4982.0,2824.0,7.93,4.49,4.12,27.8,176.81,7355.32,1498.0,55.21,37530.0,2.2,300.0,0.36,22.98,,,,
7706.0,715.0,743.0,9.27,9.64,6.1,126.44,116.94,6959.62,2139.0,15.4,35591.0,0.93,700.0,2.12,32.7,,,,
5064,246,83,4.87,1.63,9.46,139.67,60.39,3037.91,445,,5631,-,,,2.96,,,,
7013.0,606.0,416.0,8.64,5.94,12.86,33.4,204.29,1181.93,1581.0,17.97,12827.0,2.21,450.0,1.58,28.54,,,,
10170.0,469.0,304.0,4.61,2.99,8.62,36.9,113.04,2196.62,952.0,8.61,11507.0,0.71,350.0,4.27,36.21,,,,
14886,867,232,5.82,1.56,0.78,36.73,159.38,16742.29,329,105.95,43088,0.81,-,-,-,,,,
12677.0,1131.0,845.0,8.92,6.67,47.71,112.22,60.31,2450.79,4787.0,7.89,12735.0,2.96,500.0,1.32,10.43,,,,
11082.0,221.0,221.0,2.0,2.0,3.61,153.58,135.39,1907.02,3278.0,11.41,129139.0,0.29,1750.0,4.68,37.95,,,,
3408.0,-36.0,119.0,-1.05,3.48,7.17,93.88,94.83,1065.12,3858.0,7.62,67440.0,0.44,150.0,0.51,3.24,,,,
8199,752,-2375,9.17,-28.97,-112.11,995.05,21.21,37.24,-2286,-0.68,850,1.82,-,-,-,,,,
1088,179,162,16.48,14.88,21.11,91.26,52.50,123.41,234,7.74,1255,1.44,-,-,-,,,,
207.0,62.0,62.0,30.22,30.1,1.36,35.43,,562.86,84.0,29.45,7469.0,0.33,120.0,4.86,120.82,,,,
2103.0,6.0,-34.0,0.31,-1.6,-3.26,160.15,24.43,336.67,-100.0,-17.72,3027.0,0.59,30.0,1.69,-29.86,,,,
12743.0,1219.0,946.0,9.56,7.42,9.88,165.75,143.5,7879.52,3681.0,19.26,38184.0,1.86,1500.0,2.12,40.75,,,,
190629.0,1507.0,2238.0,0.79,1.17,2.76,106.68,33.05,5044.76,8391.0,15.2,326681.0,0.39,2000.0,1.57,23.06,,,,
484.0,-13.0,67.0,-2.6,13.88,2.01,6.95,1350.66,3145.9,2526.0,32.5,225255.0,0.36,750.0,0.91,17.12,,,,
2531.0,111.0,82.0,4.39,3.25,5.26,28.5,175.73,12232.05,615.0,20.39,12408.0,1.01,500.0,3.98,77.4,,,,
34217.0,2058.0,1395.0,6.02,4.08,15.09,135.44,158.36,5735.51,1200.0,20.04,9347.0,2.57,820.0,3.41,60.16,,,,
1372.0,154.0,123.0,11.24,8.94,,47.26,107.95,1127.67,2236.0,13.2,29422.0,1.0,191.0,0.65,8.36,,,,
23679,422,-256,1.78,-1.08,-1.66,285.29,60.73,2547.22,-2209,-21.41,132086,0.36,-,-,-,,,,
5421.0,219.0,153.0,4.04,2.81,11.17,252.44,127.39,767.81,921.0,7.11,8816.0,0.74,300.0,4.58,31.87,,,,
779.0,-29.0,-27.0,-3.75,-3.51,-2.67,44.96,45.61,1505.43,-219.0,-16.91,8030.0,0.46,100.0,2.7,-45.64,,,,
445,-27,-21,-6.17,-4.71,-7.56,40.55,96.24,344.23,-161,-26.62,2050,2.09,-,-,-,,,,
,,,,,,,,,,,,,,,,461  억원,48060774,,
2439,-36,-18,-1.49,-0.74,-1.50,75.26,99.68,379.03,-77,-115.49,5167,1.72,-,-,-,,,,
9716.0,432.0,112.0,4.45,1.16,6.99,232.72,30.37,513.26,225.0,11.77,3710.0,0.71,30.0,1.13,12.45,,,,
418.0,34.0,43.0,8.05,10.25,3.86,14.65,483.5,2781.37,441.0,30.13,19745.0,0.67,550.0,4.14,72.25,,,,
,,,,,,,,,,,,,,,,,,,
11650.0,202.0,-80.0,1.74,-0.68,-2.77,226.44,46.24,1722.54,-225.0,-20.41,8367.0,0.55,50.0,1.09,-21.15,,,,
2143,11,-,0.52,0.01,0.03,83.55,82.67,1171.12,2,1214.37,6386,0.30,10,0.52,633.89,,,,
347,-153,-178,-44.05,-51.38,-69.31,225.08,57.70,125.15,-3223,-0.98,3417,0.93,-,-,-,,,,
2716.0,193.0,180.0,7.1,6.64,7.51,24.34,206.76,1139.43,4505.0,4.39,61942.0,0.32,600.0,3.03,13.32,,,,
8476.0,1709.0,1633.0,20.16,19.27,4.71,6.76,277.77,7096.88,1627.0,8.85,35779.0,0.4,350.0,2.43,21.21,,,,
2233.0,1141.0,888.0,51.09,39.75,14.15,87.18,,1093.93,716.0,4.71,5403.0,0.62,182.0,5.4,25.07,,,,
591729,-12765,-22635,-2.16,-3.82,-3.42,186.83,48.79,1597.36,-3654,-7.61,105140,0.26,-,-,-,,,,
363,-49,-136,-13.52,-37.40,-35.06,50.59,63.85,484.76,-1199,-1.57,2890,0.65,-,-,-,,,,
3463,148,263,4.27,7.59,6.00,46.10,102.30,149.16,536,7.33,10328,0.38,,,-,,,,
528.0,22.0,16.0,4.11,3.06,2.01,16.04,342.54,401.08,50.0,33.55,2548.0,0.66,15.0,0.9,29.52,,,,
9462.0,590.0,405.0,6.23,4.28,4.61,55.97,162.41,4182.77,977.0,9.56,21401.0,0.44,470.0,5.03,48.1,,,,
52641,1652,1624,3.14,3.09,5.45,204.99,96.80,710.70,2555,13.72,48217,0.73,,,-,,,,
5393.0,278.0,-347.0,5.16,-6.43,-13.11,210.04,34.43,1896.74,-1192.0,-6.02,9178.0,0.78,150.0,2.09,-11.46,,,,
182701.0,8765.0,5023.0,4.8,2.75,11.25,116.9,113.97,24779.52,13395.0,10.68,124541.0,1.15,3500.0,2.45,26.13,,,,
54567,1295,-889,2.37,-1.63,,146.66,56.38,1281.57,-2164,,79450,-,,,-,,,,
,,,,,,,,,,,,,,,,,,,
3882.0,130.0,108.0,3.36,2.79,21.77,208.04,66.2,738.27,871.0,19.16,4292.0,3.89,500.0,2.99,55.68,,,,
1947,88,80,4.50,4.09,7.10,125.27,82.64,73.40,564,12.89,8562,0.85,-,-,-,,,,
10003.0,156.0,421.0,1.57,4.21,15.18,419.16,42.11,639.52,982.0,5.06,6802.0,0.73,300.0,6.04,30.56,,,,
52795.0,8069.0,5989.0,15.28,11.34,7.07,1038.62,,463.39,1725.0,4.44,25416.0,0.3,360.0,4.7,20.87,,,,
104151,3072,509,2.95,0.49,1.41,149.23,80.00,2489.33,1741,89.01,164787,0.94,-,-,-,,,,
16604.0,1360.0,7103.0,8.19,42.78,11.74,99.58,104.08,2685.75,17228.0,5.25,153815.0,0.59,1300.0,1.44,7.57,,,,
,,,,,,,,,,,,,,,,,,,
16288,838,3062,5.15,18.80,-132.20,908.28,37.62,-55.68,5184,0.96,2943,1.69,-,-,-,,,,
13049,677,27,5.19,0.21,0.97,508.34,62.02,7.79,51,58.86,5435,0.55,-,-,-,,,,
55131,-2997,-5898,-5.44,-10.70,-55.46,556.71,74.22,-180.13,-1860,-1.91,3420,1.04,-,-,-,,,,
9727.0,634.0,758.0,6.52,7.79,5.55,22.66,169.06,2894.92,8130.0,6.69,154553.0,0.35,2600.0,4.78,30.93,,,,
76854.0,11764.0,7882.0,15.31,10.26,20.32,53.26,79.99,4822.48,43916.0,28.71,247477.0,5.1,11000.0,0.87,23.7,,,,
273531.0,8254.0,3761.0,3.02,1.38,1.84,95.73,76.23,4362.05,4003.0,79.31,221961.0,1.43,2000.0,0.63,49.02,,,,
14527.0,181.0,32.0,1.25,0.22,,265.55,65.69,410.37,145.0,218.25,28817.0,1.1,600.0,1.9,414.4,,,,
,,,,,,,,,,,,,,,,"1,376  억원",42200000,,
115035.0,5754.0,4764.0,5.0,4.14,9.12,828.68,,253.08,1584.0,8.02,17974.0,0.71,500.0,3.94,31.7,,,,
18738.0,1538.0,777.0,8.21,4.15,4.39,109.61,96.36,3525.26,771.0,27.11,18100.0,1.15,230.0,1.1,29.83,,,,
1482.0,121.0,64.0,8.15,4.33,5.91,133.28,22.92,629.99,224.0,9.85,3877.0,0.57,50.0,2.26,22.28,,,,
1409,-31,-31,-2.22,-2.19,-2.84,24.66,886.13,76.30,-26,-39.73,881,1.16,-,-,-,,,,
130542.0,1094.0,-1226.0,0.84,-0.94,-5.85,339.81,38.14,249.53,-530.0,-11.21,8989.0,0.66,120.0,2.02,-21.96,,,,
5502.0,214.0,312.0,3.89,5.67,5.62,626.02,,140.87,66.0,9.26,1226.0,0.5,10.0,1.65,14.96,,,,
177407.0,11082.0,8607.0,6.25,4.85,3.91,98.11,97.19,56328.7,2201.0,21.62,62760.0,0.76,2000.0,4.2,82.15,,,,
3588.0,236.0,164.0,6.57,4.56,6.57,98.83,57.44,970.78,345.0,22.44,5370.0,1.44,50.0,0.65,14.56,,,,
133.0,-16.0,2.0,-12.11,1.83,0.45,4.42,2251.66,601.73,155.0,133.14,40941.0,0.5,250.0,1.21,136.84,,,,
3801,394,295,10.35,7.77,43.70,97.00,72.26,715.93,1411,,3835,-,,,6.78,,,,
1246.0,93.0,87.0,7.43,6.97,3.69,6.08,832.48,1529.3,298.0,9.66,8125.0,0.35,150.0,5.22,50.42,,,,
2834.0,148.0,135.0,5.24,4.76,20.68,138.08,96.38,166.86,299.0,4.25,1601.0,0.79,30.0,2.36,9.85,,,,
20223.0,2074.0,1185.0,10.25,5.86,7.94,120.56,113.71,2732.18,1135.0,8.04,15139.0,0.6,105.0,1.15,9.14,,,,
23439.0,788.0,711.0,3.36,3.03,3.72,36.7,142.65,6571.96,11672.0,20.61,333399.0,0.72,4000.0,1.66,32.58,,,,
7.0,-21.0,676.0,-280.88,9174.18,6.7,14.26,301.96,2546.85,832.0,12.57,14929.0,0.7,300.0,2.87,32.33,,,,
450.0,17.0,45.0,3.8,10.08,3.26,21.72,675.57,2156.69,419.0,7.36,16173.0,0.19,500.0,16.21,97.78,,,,
2364.0,41.0,20.0,1.75,0.86,1.37,93.95,92.05,865.55,132.0,31.62,9705.0,0.43,130.0,3.11,97.46,,,,
1516,32,35,2.14,2.29,7.06,35.66,165.38,281.49,132,113.98,1907,7.89,,,-,,,,
11134.0,447.0,289.0,4.01,2.59,4.34,95.88,132.16,1871.55,1899.0,72.4,50317.0,2.73,600.0,0.44,28.14,,,,
8990.0,170.0,47.0,1.89,0.52,2.75,167.87,44.4,235.93,56.0,25.68,2397.0,0.59,10.0,0.7,15.21,,,,
15547,332,-126,2.14,-0.81,-3.99,295.04,57.67,45.19,-13,-44.27,318,1.78,-,-,-,,,,
123843,1761,-6228,1.42,-5.03,-22.09,871.45,32.58,93.10,-4197,-4.40,17723,1.04,-,-,-,,,,
1175,-9,-35,-0.81,-2.98,-12.62,206.93,40.98,-20.45,-129,-21.82,974,2.89,,,-,,,,
56584,1646,-817,2.91,-1.44,-3.63,179.63,40.61,167.65,-718,-8.29,19568,0.30,-,-,-,,,,
45096.0,4770.0,2721.0,10.58,6.03,7.05,68.49,62.39,8815.47,2714.0,12.65,39692.0,0.87,1200.0,3.49,44.21,,,,
6849.0,174.0,137.0,2.55,1.99,2.25,79.32,49.62,4169.29,423.0,16.92,25253.0,0.28,142.0,1.99,24.54,,,,
5378,-320,-557,-5.95,-10.35,-33.70,318.95,28.08,575.71,-1659,-1.25,3983,0.52,-,-,-,,,,
884,-162,-147,-18.27,-16.60,-4.90,88.11,19.52,756.57,-213,-67.27,4460,3.21,-,-,-,,,,
20930.0,973.0,416.0,4.65,1.99,3.19,108.81,104.32,37856.29,5932.0,25.2,188635.0,0.79,1300.0,0.87,21.9,,,,
24295.0,1077.0,-1440.0,4.43,-5.93,-11.68,165.19,54.45,43011.8,-16243.0,-8.62,147638.0,0.95,2700.0,1.93,-15.57,,,,
151235.0,11073.0,7567.0,7.32,5.0,5.51,42.62,169.05,7608.48,20860.0,10.74,385244.0,0.58,6700.0,2.99,32.12,,,,
,,,,,,,,,,,,,,,,966  억원,26580000,,
,,,,,,,,,,,,,,,,"3,834  억원",92834331,,
75,1,140,1.84,187.52,22.50,3.90,1226.22,444.14,108,3.00,540,0.60,-,-,-,,,,
,,,,,,,,,,,,,,,,"1,109  억원",29060000,,
,,,,,,,,,,,,,,,,456  억원,15200004,,
1410.0,86.0,69.0,6.13,4.92,7.2,75.18,99.98,953.21,3684.0,39.5,52812.0,2.76,250.0,0.17,6.79,,,,
2046,-89,-216,-4.36,-10.55,-52.37,838.02,20.26,-67.22,-510,-0.92,709,0.66,-,-,-,,,,
7354.0,182.0,-144.0,2.48,-1.96,-3.13,134.51,52.54,1455.74,-2557.0,-14.59,80809.0,0.46,150.0,0.4,-5.8,,,,
3489,97,-56,2.79,-1.62,-2.66,70.43,63.31,1112.04,-328,-16.14,11862,0.45,-,-,-,,,,
446,-65,69,-14.52,15.45,4.99,18.00,217.35,295.89,117,35.71,2423,1.73,-,-,,,,,
2693.0,108.0,104.0,4.01,3.87,5.03,18.82,292.08,948.79,261.0,11.58,5264.0,0.57,115.0,3.81,43.96,,,,
1955.0,36.0,27.0,1.83,1.37,0.97,20.97,150.34,2140.21,211.0,36.16,21895.0,0.35,38.0,0.5,18.03,,,,
1160.0,91.0,84.0,7.84,7.2,,64.48,142.66,1325.37,3876.0,11.75,79015.0,0.58,1350.0,2.96,29.69,,,,
22026.0,332.0,-953.0,1.51,-4.33,-13.31,175.2,69.61,8412.11,-2554.0,-1.14,19459.0,0.15,50.0,1.71,-1.81,,,,
7175.0,195.0,110.0,2.71,1.53,3.47,75.07,97.73,652.11,1280.0,10.51,37702.0,0.36,900.0,6.69,69.02,,,,
2959.0,94.0,31.0,3.16,1.05,1.52,151.7,32.18,617.63,42.0,74.33,2771.0,1.12,14.0,0.44,32.36,,,,
11285.0,3815.0,3014.0,33.81,26.71,11.47,34.35,224.94,2154.5,2151.0,81.11,19863.0,8.78,,,2.11,,,,
10272,414,3,4.03,0.03,0.15,271.94,37.15,218.37,2,733.95,1606,1.09,,,-,,,,
,,,,,,,,,,,,,,,,"2,126  억원",55955884,,
36239,-2819,-3414,-7.78,-9.42,-62.27,400.89,27.50,-46.47,-22220,-0.30,26103,0.25,-,-,-,,,,
256,42,6,16.49,2.40,1.28,14.14,165.89,202.48,20,196.86,1598,2.41,-,-,-,,,,
7994.0,601.0,347.0,7.52,4.34,9.92,98.9,98.07,4395.39,874.0,20.63,9821.0,1.84,218.0,1.21,22.33,,,,
6977.0,711.0,614.0,10.19,8.81,10.99,45.03,161.18,1205.67,6860.0,4.37,65302.0,0.46,600.0,2.0,8.75,,,,
3636,-28,-38,-0.78,-1.03,-6.42,143.71,97.87,100.41,-61,-18.56,980,1.15,-,-,-,,,,
1577.0,65.0,76.0,4.09,4.8,4.23,25.97,237.52,2292.75,438.0,8.77,10621.0,0.36,125.0,3.26,28.54,,,,
737,-98,-266,-13.36,-36.13,-24.96,58.84,78.76,171.16,-333,-3.39,1172,0.96,-,-,-,,,,
4545.0,198.0,144.0,4.37,3.16,5.29,42.07,130.25,1214.46,343.0,10.92,6756.0,0.55,100.0,2.67,29.3,,,,
23468.0,1685.0,1030.0,7.18,4.39,7.82,86.26,155.67,831.73,3462.0,15.77,46397.0,1.18,1200.0,2.2,33.88,,,,
23883.0,2376.0,1743.0,9.95,7.3,9.82,57.67,154.21,6954.16,3753.0,9.13,42025.0,0.81,400.0,1.17,10.55,,,,
27380.0,2990.0,2277.0,10.92,8.32,9.6,47.12,184.99,15979.95,8870.0,5.43,118552.0,0.41,1000.0,2.07,9.59,,,,
1294,-41,-138,-3.19,-10.66,-3.41,114.75,41.58,64.36,-287,-20.93,8222,0.73,-,-,-,,,,
2534,19,40,0.75,1.58,4.06,174.03,64.54,1203.86,248,20.15,6903,0.72,-,-,-,,,,
1818,-83,-136,-4.58,-7.48,-22.80,408.80,33.64,906.25,-680,-2.54,2632,0.66,-,-,-,,,,
8752.0,848.0,675.0,9.69,7.71,9.87,51.84,108.81,1604.05,7600.0,6.15,79982.0,0.58,1200.0,2.57,15.79,,,,
21318,718,809,3.37,3.80,6.60,876.60,,24.25,381,7.52,6150,0.47,,,-,,,,
9767.0,582.0,413.0,5.96,4.23,5.36,880.08,,46.93,427.0,5.37,8153.0,0.28,70.0,3.06,16.4,,,,
2797.0,96.0,10.0,3.44,0.36,0.44,136.8,40.02,233.27,71.0,104.16,16664.0,0.45,200.0,2.69,274.15,,,,
1316.0,66.0,49.0,5.03,3.76,2.23,23.58,321.79,2585.99,289.0,54.26,13003.0,1.21,343.0,2.19,116.95,,,,
98,-22,131,-22.96,133.98,29.38,37.76,43.43,244.82,397,7.52,1709,1.75,-,-,-,,,,
758,49,-242,6.43,-31.93,-86.00,96.82,144.83,-42.23,-263,-11.64,263,11.62,,,-,,,,
2404.0,372.0,279.0,15.47,11.62,5.75,1144.3,,209.82,869.0,4.66,15491.0,0.26,100.0,2.47,11.5,,,,
2034.0,-4.0,-23.0,-0.18,-1.14,-1.33,80.94,60.13,2735.75,-181.0,-30.44,16451.0,0.33,200.0,3.64,-90.79,,,,
7572.0,213.0,322.0,2.82,4.25,4.13,52.0,67.54,2990.05,6088.0,14.59,182083.0,0.49,4000.0,4.5,53.38,,,,
4775.0,85.0,18.0,1.78,0.38,1.22,108.36,76.68,2291.29,143.0,34.27,11858.0,0.41,30.0,0.61,20.92,,,,
27196.0,1332.0,-2219.0,4.9,-8.16,-4.37,110.68,49.48,9923.37,-21079.0,-11.08,452732.0,0.52,5500.0,2.36,-24.3,,,,
,,,,,,,,,,,,,,,,,,,
44072.0,1729.0,221.0,3.92,0.5,1.58,148.93,48.64,1341.62,1092.0,45.55,67767.0,0.73,900.0,1.81,82.84,,,,
418.0,12.0,98.0,2.85,23.48,8.67,14.46,501.89,1540.67,847.0,6.2,10362.0,0.51,150.0,2.86,17.46,,,,
6598.0,1064.0,703.0,16.12,10.66,10.82,36.06,237.11,1634.85,1721.0,12.29,17014.0,1.24,1000.0,4.73,54.54,,,,
2656,-13,-278,-0.49,-10.48,-136.14,4714.43,24.76,-155.58,-971,-1.94,436,4.33,-,-,-,,,,
88,-14,-33,-15.55,-37.34,-7.77,3.29,3220.46,3.21,-79,-16.28,991,1.30,-,-,-,,,,
1663.0,336.0,283.0,20.18,17.02,13.3,19.38,391.96,2727.68,1593.0,12.91,12734.0,1.62,419.0,2.04,25.56,,,,
6146.0,75.0,-120.0,1.21,-1.94,-4.22,362.44,90.08,3585.26,-662.0,-75.41,15614.0,3.2,958.0,1.92,-137.86,,,,
5038.0,224.0,163.0,4.45,3.23,5.07,43.86,387.57,1686.28,5136.0,8.8,105627.0,0.43,1000.0,2.21,18.8,,,,
7191.0,122.0,191.0,1.7,2.65,2.65,20.45,322.18,1473.45,414.0,11.41,15748.0,0.3,200.0,4.23,48.24,,,,
13789.0,998.0,336.0,7.24,2.44,6.39,183.1,53.9,4022.61,1284.0,36.78,20601.0,2.29,330.0,0.7,25.99,,,,
,,,,,,,,,,,,,,,,"1,640  억원",80020000,,
2947.0,244.0,234.0,8.28,7.94,20.64,64.02,211.79,2377.72,2038.0,4.71,11839.0,0.81,200.0,2.08,8.93,,,,
16233.0,1245.0,721.0,7.67,4.44,15.21,221.33,90.79,709.97,6210.0,2.38,43694.0,0.34,350.0,2.36,5.64,,,,
3104.0,296.0,222.0,9.53,7.14,7.85,518.3,,345.52,1672.0,4.69,22324.0,0.35,350.0,4.46,20.96,,,,
