,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),ROE(%),주당배당금
134380,1602.0,162.0,138.0,10.08,8.6,12.81,11.01,522.78,5026.13,6264.0,9.88,55419.0,1.12,2500.0,4.04,36.84,,
035150,3831.0,40.0,-164.0,1.03,-4.29,-11.97,137.76,96.63,830.76,-650.0,-8.52,5126.0,1.08,100.0,1.8,-15.04,,
002410,1444,120,110,8.32,7.60,14.51,93.67,143.48,288.66,442,10.99,3270,1.48,-,-,-,,
207940,11648,2928,2410,25.14,20.69,,39.69,97.99,2684.75,3599,226.84,68678,11.89,-,-,-,,
016360,110024.0,6780.0,5078.0,6.16,4.61,9.89,1101.22,,1059.72,5686.0,7.11,59542.0,0.68,2200.0,5.44,38.69,,
029780,33671.0,5343.0,3988.0,15.87,11.84,5.69,228.66,,1123.73,3442.0,9.44,66718.0,0.49,1800.0,5.54,48.16,,
002810,3924.0,224.0,347.0,5.7,8.83,7.59,26.57,261.81,4021.84,1526.0,9.18,21514.0,0.65,500.0,3.57,31.28,,
000520,1230.0,65.0,13.0,5.32,1.09,2.13,201.58,49.09,922.93,102.0,100.83,5078.0,2.03,75.0,0.73,70.02,,
009770,1463.0,136.0,269.0,9.27,18.35,13.58,10.34,401.13,1590.92,10743.0,2.78,84390.0,0.35,1000.0,3.34,9.31,,
001290,364,29,25,7.92,6.86,1.54,196.14,,81.47,26,40.66,1838,0.58,,,-,,
248170,3189.0,428.0,361.0,13.42,11.3,20.65,39.78,165.8,8348.61,7892.0,6.67,42083.0,1.25,200.0,0.38,2.53,,
200880,19624.0,485.0,-408.0,2.47,-2.08,-6.8,185.39,75.81,4278.81,-1527.0,-4.79,22312.0,0.33,100.0,1.37,-6.55,,
003080,517.0,-37.0,-60.0,-7.18,-11.61,,16.49,307.19,847.1,-299.0,-14.9,7024.0,0.63,135.0,3.03,-43.84,,
004980,7223.0,212.0,101.0,2.93,1.4,2.53,167.6,44.44,200.88,404.0,18.14,16373.0,0.45,150.0,2.05,36.94,,
001430,25358.0,-33.0,-2455.0,-0.13,-9.68,-14.18,91.42,81.49,585.28,-6857.0,-1.55,45602.0,0.23,200.0,1.89,-1.06,,
004430,8078.0,680.0,284.0,8.42,3.51,6.17,92.27,73.9,3798.32,1144.0,13.94,19113.0,0.83,120.0,0.75,10.49,,
011930,4824,185,-137,3.84,-2.84,-8.77,121.16,65.22,105.44,-75,-46.01,961,3.58,,,-,,
031440,12403.0,77.0,-220.0,0.62,-1.77,-7.35,213.19,65.73,1381.96,-5677.0,-11.5,73156.0,0.89,750.0,1.15,-13.21,,
003410,14708.0,2502.0,1382.0,17.01,9.4,7.92,96.89,124.5,3389.32,274.0,24.42,3364.0,1.99,440.0,6.59,160.42,,
004920,414,-28,-47,-6.86,-11.36,-14.34,129.49,48.80,157.49,-205,-4.39,1319,0.68,,,-,,
002790,49301.0,1507.0,220.0,3.06,0.45,0.31,24.18,157.91,7107.15,108.0,507.65,36218.0,1.52,230.0,0.42,234.68,,
010780,12004.0,2090.0,1416.0,17.41,11.8,10.92,160.53,102.0,7555.8,4022.0,13.28,38672.0,1.38,1000.0,1.87,24.5,,
139990,5698,284,117,4.99,2.05,10.65,217.93,57.35,1081.80,625,,5229,-,,,1.53,,
018250,5881.0,224.0,115.0,3.8,1.95,3.41,30.45,191.65,1183.47,434.0,56.46,12707.0,1.93,200.0,0.82,45.74,,
161000,9089.0,575.0,443.0,6.33,4.88,11.72,36.03,119.39,2398.07,1386.0,6.45,12499.0,0.72,350.0,3.91,24.88,,
181710,16412,857,280,5.22,1.70,1.35,38.32,164.70,17088.83,572,68.08,43749,0.89,-,-,-,,
097520,13113.0,592.0,384.0,4.51,2.93,16.1,79.25,86.42,2788.59,2152.0,18.77,14344.0,2.82,500.0,1.24,22.93,,
015360,11014.0,100.0,-779.0,0.91,-7.07,-13.18,200.03,100.28,1657.11,-11271.0,-3.11,111516.0,0.31,2000.0,5.71,-12.62,,
006980,3886.0,45.0,57.0,1.16,1.47,3.28,76.74,98.11,1089.7,1865.0,16.09,68993.0,0.43,150.0,0.5,6.69,,
016880,8862,207,-257,2.34,-2.90,-47.30,474.63,65.04,-46.81,-295,-3.68,400,2.71,-,-,-,,
011330,1262.0,153.0,112.0,12.14,8.87,12.01,175.91,61.6,157.71,159.0,8.88,1442.0,0.98,50.0,3.53,31.19,,
003460,207.0,46.0,52.0,22.19,25.2,1.12,52.59,,582.96,70.0,32.79,7778.0,0.3,110.0,4.76,130.49,,
025820,2029.0,59.0,19.0,2.9,0.93,1.86,165.64,30.92,344.24,57.0,34.92,3058.0,0.65,30.0,1.52,52.9,,
214320,12211.0,1115.0,843.0,9.13,6.9,8.28,160.72,146.14,8208.79,3174.0,18.78,38463.0,1.55,1800.0,3.02,56.71,,
139480,220330.0,2372.0,3626.0,1.08,1.65,4.05,112.83,40.31,5243.34,12979.0,11.67,336509.0,0.45,2000.0,1.32,14.91,,
003120,406.0,-19.0,32.0,-4.8,7.93,0.93,6.83,1452.52,3162.53,1211.0,68.31,226551.0,0.37,750.0,0.91,35.72,,
194370,4028.0,79.0,23.0,1.97,0.58,1.54,234.71,41.12,12030.72,177.0,42.45,12206.0,0.62,450.0,5.98,236.44,,
030000,27479.0,2049.0,1583.0,7.46,5.76,16.11,120.82,160.2,6065.18,1368.0,15.06,9948.0,2.07,840.0,4.08,54.05,,
063160,1246.0,76.0,62.0,6.11,4.98,3.79,67.98,63.48,1133.22,1132.0,70.61,30760.0,2.6,200.0,0.25,17.68,,
071320,20989.0,1329.0,279.0,6.33,1.33,1.68,236.7,59.16,2588.39,2413.0,16.72,155780.0,0.26,965.0,2.39,40.0,,
035000,3756.0,253.0,90.0,6.73,2.41,6.27,264.94,127.3,793.4,546.0,10.45,8965.0,0.64,300.0,5.26,53.79,,
088790,545,-17,-18,-3.10,-3.32,-1.84,32.30,49.30,1457.42,-145,-29.12,7790,0.54,-,-,-,,
051630,433,2,8,0.45,1.91,3.04,38.59,95.65,360.09,64,79.17,2124,2.37,-,-,-,,
005070,2043,124,117,6.09,5.75,7.16,104.93,82.64,413.49,401,48.97,6047,3.25,,,-,,
007980,7850,-20,-124,-0.25,-1.58,-7.13,281.39,43.96,451.52,-251,-7.89,3667,0.54,-,-,-,,
078000,364.0,5.0,19.0,1.5,5.13,1.69,11.89,706.26,2759.72,192.0,62.88,19552.0,0.62,480.0,3.97,144.64,,
363280,929,16,3540,1.73,381.04,,54.98,46.45,5571.80,26437,1.05,31400,0.88,,,-,,
036580,13339.0,397.0,115.0,2.98,0.86,4.21,222.1,52.2,1761.16,338.0,14.28,8468.0,0.57,100.0,2.07,28.2,,
071090,1617.0,3.0,-13.0,0.18,-0.78,-0.99,90.14,58.81,1156.57,-63.0,-30.66,6305.0,0.31,10.0,0.52,-15.88,,
019490,273,-194,-215,-71.18,-78.94,-136.56,327.34,46.37,-19.59,-3868,-1.18,2291,1.99,,,-,,
002200,2648.0,109.0,84.0,4.11,3.16,3.34,22.37,222.63,1168.58,2088.0,10.58,63942.0,0.35,600.0,2.71,28.41,,
000240,8192.0,1578.0,1796.0,19.26,21.93,5.08,8.34,186.27,7397.47,1822.0,8.04,36963.0,0.4,500.0,3.41,27.05,,
123890,2401.0,1787.0,1300.0,74.43,54.16,18.18,57.07,,1160.65,1049.0,3.76,6283.0,0.63,220.0,5.58,20.71,,
015760,585693.0,40863.0,20925.0,6.98,3.57,2.91,187.47,47.34,1657.46,3102.0,8.83,107945.0,0.25,1216.0,4.44,39.2,,
025890,339,-1,-13,-0.38,-3.93,-4.28,54.80,64.27,462.38,-118,-13.15,2693,0.58,-,-,-,,
004150,3595.0,125.0,727.0,3.46,20.21,15.2,19.12,151.49,1076.92,1626.0,2.27,11972.0,0.31,120.0,3.26,7.08,,
011700,516.0,39.0,35.0,7.51,6.7,4.24,15.63,419.06,417.76,107.0,15.28,2675.0,0.61,35.0,2.15,31.14,,
300720,9743.0,1328.0,1000.0,13.63,10.26,,76.67,56.05,3676.08,1795.0,5.85,19505.0,0.54,510.0,4.86,35.79,,
012450,53214.0,2439.0,1647.0,4.58,3.1,4.78,216.58,90.55,750.6,2388.0,11.93,51329.0,0.56,600.0,2.11,25.01,,
101530,5639.0,339.0,275.0,6.01,4.88,10.84,135.55,44.66,2030.76,943.0,8.75,9915.0,0.83,200.0,2.42,19.32,,
086280,165199.0,6622.0,6061.0,4.01,3.67,12.45,115.12,133.4,27309.02,16165.0,11.38,135079.0,1.36,3500.0,1.9,21.65,,
329180,83120,325,-4314,0.39,-5.19,-7.86,157.42,60.16,1168.48,-6096,,75746,-,,,-,,
378850,,,,,,,,,,,,,,,,,,
094280,4841.0,168.0,127.0,3.47,2.63,25.21,227.16,57.54,716.59,1026.0,22.62,4150.0,5.59,750.0,3.23,70.19,,
005870,2013,110,63,5.48,3.15,5.37,106.71,69.27,82.01,449,12.70,9161,0.62,-,-,-,,
095570,8720.0,211.0,-33.0,2.42,-0.38,-1.3,451.43,29.75,600.62,-84.0,-55.11,6261.0,0.74,210.0,4.55,-250.79,,
138930,52124.0,7482.0,5626.0,14.35,10.79,6.11,1085.89,,491.12,1593.0,3.56,26905.0,0.21,320.0,5.63,19.99,,
000120,107811,3253,1426,3.02,1.32,3.89,138.70,81.17,2670.19,5393,30.69,167357,0.99,-,-,-,,
000210,15661.0,1190.0,5727.0,7.6,36.56,11.84,332.9,17.22,2917.79,13082.0,6.34,67178.0,1.24,1300.0,1.57,9.97,,
383220,,,,,,,,,,,,,,,,,,
097230,16958,516,783,3.04,4.62,27.71,585.57,65.65,-37.54,940,7.78,3844,1.90,-,-,-,,
014790,15509.0,898.0,1099.0,5.79,7.09,34.98,341.91,71.57,51.87,2240.0,2.19,7648.0,0.64,100.0,2.04,25.9,,
011200,64133,9808,1240,15.29,1.93,8.92,455.11,65.90,-176.08,384,36.32,5164,2.70,,,-,,
092230,9532.0,791.0,1941.0,8.3,20.36,20.0,27.08,150.5,3571.67,33268.0,1.82,189480.0,0.32,3100.0,5.13,9.01,,
051900,78445.0,12209.0,8131.0,15.56,10.37,17.92,40.26,79.33,5534.21,45018.0,35.99,283837.0,5.71,11000.0,0.68,23.12,,
051910,300589.0,18054.0,6824.0,6.01,2.27,2.93,120.27,80.65,4565.03,6549.0,125.83,231866.0,3.55,10000.0,1.21,151.84,,
079550,16003.0,637.0,579.0,3.98,3.62,8.86,285.96,64.87,453.39,2631.0,11.59,31034.0,0.98,900.0,2.95,33.69,,
005940,127678.0,7873.0,5769.0,6.17,4.52,10.32,981.16,,279.91,1921.0,5.88,19352.0,0.58,700.0,6.19,36.51,,
034310,20555.0,1531.0,529.0,7.45,2.57,2.43,118.5,103.44,3645.52,446.0,43.58,18647.0,1.04,270.0,1.39,60.45,,
008260,1926.0,186.0,121.0,9.67,6.3,10.45,136.64,24.4,704.84,424.0,6.05,4246.0,0.6,50.0,1.95,11.79,,
002360,936,-79,-69,-8.39,-7.42,-7.29,30.38,849.69,64.51,-61,-13.59,819,1.02,-,-,-,,
001740,106259.0,1239.0,421.0,1.17,0.4,1.63,290.76,51.52,241.72,139.0,34.95,9414.0,0.52,120.0,2.47,76.06,,
001510,10235.0,123.0,123.0,1.2,1.2,1.99,822.97,,152.78,24.0,33.58,1317.0,0.61,10.0,1.25,38.56,,
017670,160877.0,12486.0,15005.0,7.76,9.33,6.44,96.37,102.14,58016.08,3726.0,12.77,66577.0,0.71,2000.0,4.2,47.53,,
012610,3293.0,34.0,-76.0,1.02,-2.3,-4.18,121.17,71.09,916.95,-218.0,-32.35,5071.0,1.39,50.0,0.71,-23.06,,
009140,208.0,10.0,14.0,4.66,6.49,2.49,6.97,1715.06,610.26,860.0,29.14,41546.0,0.6,250.0,1.0,24.09,,
339770,4476.0,410.0,238.0,9.17,5.33,20.4,49.51,129.45,1159.63,1107.0,17.58,6145.0,3.17,200.0,1.03,20.96,,
092440,1285.0,114.0,98.0,8.84,7.61,4.06,6.34,822.15,1559.24,335.0,17.89,8360.0,0.72,150.0,2.5,44.81,,
013700,1617.0,28.0,92.0,1.74,5.69,11.97,100.83,72.56,204.05,204.0,14.69,1868.0,1.6,20.0,0.67,9.63,,
002350,16981.0,394.0,-166.0,2.32,-0.98,-1.08,128.91,111.35,2714.44,-161.0,-38.37,15031.0,0.41,105.0,1.7,-64.34,,
004370,26398.0,1603.0,1490.0,6.07,5.65,7.5,33.02,155.2,6975.62,24416.0,12.29,351731.0,0.85,4000.0,1.33,15.57,,
008060,34.0,-41.0,1472.0,-121.2,4378.76,17.88,21.73,189.1,6181.24,2991.0,2.33,17300.0,0.4,300.0,4.3,7.16,,
008110,398,30,32,7.65,8.08,2.22,25.01,552.32,2139.63,313,18.84,19104,0.31,,,-,,
005750,2324.0,17.0,-18.0,0.74,-0.76,-1.05,106.74,103.52,852.31,-101.0,-63.16,9517.0,0.67,130.0,2.04,-128.91,,
009190,1405,11,-7,0.76,-0.46,-0.91,53.44,161.34,256.52,-16,-237.48,1791,2.15,-,-,-,,
069620,10554.0,170.0,241.0,1.61,2.29,2.38,96.61,107.92,1912.21,1101.0,149.9,51195.0,3.22,600.0,0.36,50.63,,
012800,9336,284,70,3.04,0.76,3.50,180.23,53.85,248.82,72,21.42,2475,0.62,-,-,-,,
001440,15968,566,27,3.55,0.17,0.92,233.52,58.04,47.09,3,399.48,370,3.40,-,-,-,,
003490,76105,1073,-2300,1.41,-3.02,-7.22,660.63,36.33,113.63,-1181,-17.86,14148,1.49,-,-,-,,
069460,1214,26,7,2.14,0.54,2.43,269.02,49.08,-12.19,24,102.91,1013,2.44,,,-,,
001230,52062.0,2947.0,695.0,5.66,1.33,3.35,153.65,39.36,176.02,682.0,11.9,21745.0,0.37,200.0,2.46,28.73,,
241560,42821,3939,2475,9.20,5.78,6.15,70.86,117.69,9146.38,2468,12.01,40637,0.73,-,-,-,,
001530,6797.0,264.0,240.0,3.88,3.54,4.0,70.82,64.93,4228.12,765.0,18.74,26306.0,0.55,145.0,1.01,13.81,,
092200,4934,-710,-1191,-14.38,-24.14,-128.28,755.88,27.27,-42.62,-3134,-0.94,920,3.19,-,-,-,,
032350,168,-714,-821,-425.68,-489.39,-30.43,430.05,56.88,522.22,-1183,-12.68,3313,4.53,-,-,-,,
280360,20760.0,1126.0,417.0,5.42,2.01,3.42,106.5,115.22,38902.76,6387.0,15.97,185177.0,0.55,1600.0,1.57,25.03,,
005300,22580.0,972.0,-168.0,4.31,-0.74,-1.0,165.63,73.06,39511.86,-1397.0,-77.67,134689.0,0.81,2700.0,2.49,-207.44,,
011170,122230.0,3569.0,1753.0,2.92,1.44,1.22,41.38,161.71,7560.76,4623.0,59.7,374803.0,0.74,3600.0,1.3,77.86,,
007120,58,7,197,11.91,340.92,24.75,3.19,3213.93,597.93,152,2.59,695,0.57,-,-,-,,
011390,1156.0,55.0,41.0,4.79,3.57,4.33,58.41,102.14,991.46,2333.0,49.29,54994.0,2.09,250.0,0.22,10.72,,
005030,1527,-45,-134,-2.95,-8.80,-47.39,837.65,26.16,-87.62,-310,-2.32,469,1.53,-,-,-,,
007160,6219.0,219.0,121.0,3.52,1.95,1.85,116.1,58.98,1455.06,1480.0,21.09,80618.0,0.39,200.0,0.64,13.37,,
014710,2145,108,78,5.03,3.66,3.78,47.82,90.61,1158.43,455,13.22,12244,0.49,-,-,-,,
001360,483,-100,-399,-20.81,-82.61,-30.13,46.60,81.99,182.20,-652,-9.27,1982,3.05,,,-,,
023000,2460.0,100.0,81.0,4.06,3.3,3.84,21.25,246.95,965.74,203.0,12.98,5354.0,0.49,105.0,3.98,51.39,,
004440,1861,-3,-10,-0.14,-0.56,-0.37,17.68,221.09,2129.14,-81,-115.94,21785,0.43,-,-,-,,
004450,1403.0,95.0,15.0,6.78,1.07,1.03,70.7,129.59,1317.6,694.0,56.76,79063.0,0.5,1250.0,3.17,152.42,,
007860,22373.0,530.0,-255.0,2.37,-1.14,-1.26,160.23,74.9,3787.51,-228.0,-42.44,19784.0,0.49,50.0,0.52,-20.25,,
019440,6550.0,9.0,-43.0,0.13,-0.65,-1.42,75.47,124.37,624.98,-515.0,-22.91,36457.0,0.32,700.0,5.93,-105.13,,
075580,2856.0,12.0,33.0,0.41,1.15,1.19,178.05,34.2,407.99,33.0,205.36,2785.0,2.4,150.0,2.24,449.68,,
068270,18491.0,7186.0,5257.0,38.86,28.43,17.07,46.46,193.38,2446.72,3691.0,95.47,23764.0,14.83,,,0.52,,
005390,11999,743,288,6.19,2.40,11.62,239.05,47.40,258.41,200,18.41,1844,2.00,-,-,-,,
003620,29502,-4494,-5043,-15.23,-17.09,-320.22,-2107.02,28.12,-112.00,-32657,-0.27,-5706,-1.54,-,-,-,,
004770,164,12,58,7.31,35.55,9.92,2.51,334.65,247.42,170,30.03,1832,2.78,-,-,-,,
112610,9691.0,976.0,336.0,10.07,3.47,8.19,98.56,103.17,4963.19,845.0,104.75,11314.0,7.83,473.0,0.53,55.93,,
002310,7316.0,657.0,542.0,8.98,7.41,8.9,39.28,175.86,1313.87,6056.0,6.15,70731.0,0.53,700.0,1.88,11.56,,
011090,2337,-85,-89,-3.64,-3.81,-17.89,149.55,100.65,70.98,-148,-8.13,818,1.47,-,-,-,,
123700,1387.0,68.0,43.0,4.9,3.07,1.63,29.53,307.22,2308.38,172.0,19.19,10466.0,0.31,50.0,1.52,29.12,,
085310,694,-3,-,-0.45,-0.05,-0.03,56.68,152.96,172.39,-0,-3695.19,1134,1.01,-,-,-,,
004250,4313.0,207.0,189.0,4.8,4.37,6.53,39.0,139.95,1284.36,449.0,7.3,7023.0,0.47,100.0,3.05,22.36,,
010120,24027.0,1337.0,855.0,5.56,3.56,6.14,79.73,196.96,866.01,2839.0,22.22,48133.0,1.31,1100.0,1.74,37.87,,
111770,24664.0,2597.0,1824.0,10.53,7.4,8.03,52.37,199.46,7976.94,3332.0,9.51,41828.0,0.76,500.0,1.58,14.85,,
009970,28510.0,3408.0,2345.0,11.95,8.22,7.64,42.62,244.08,18667.24,7690.0,4.91,118117.0,0.32,1200.0,3.18,13.28,,
070960,1274,-70,-176,-5.46,-13.78,-4.54,141.39,36.79,57.07,-365,-11.67,7848,0.54,-,-,-,,
017370,2407,-36,-140,-1.48,-5.82,-13.07,223.76,68.72,1053.13,-759,-4.70,6019,0.59,-,-,-,,
049800,2050.0,94.0,78.0,4.6,3.79,13.7,340.34,44.88,1065.6,388.0,7.8,3039.0,1.0,50.0,1.65,12.87,,
014830,8905.0,962.0,768.0,10.81,8.63,10.29,43.33,128.96,1748.53,8656.0,5.58,89826.0,0.54,1400.0,2.9,15.89,,
003470,27039.0,1226.0,1050.0,4.54,3.88,7.92,977.74,,35.84,494.0,6.18,6750.0,0.45,125.0,4.09,25.07,,
001200,14706.0,1013.0,754.0,6.89,5.13,9.11,1064.69,,62.0,778.0,5.07,9220.0,0.43,120.0,3.04,14.93,,
008250,2569.0,58.0,17.0,2.27,0.66,0.96,122.16,42.46,232.64,154.0,69.52,16138.0,0.66,200.0,1.87,126.83,,
102460,1300.0,41.0,38.0,3.19,2.96,1.71,38.04,182.48,2579.31,223.0,99.29,13024.0,1.7,196.0,0.89,90.11,,
101140,102,-53,-451,-51.48,-441.17,-62.65,24.36,82.25,211.44,-1063,-4.93,1542,3.40,,,-,,
006490,578,-10,91,-1.74,15.73,27.25,76.54,77.27,-12.12,94,22.38,429,4.92,,,-,,
006220,2148.0,216.0,175.0,10.07,8.16,3.48,1182.16,,217.12,545.0,6.07,15856.0,0.21,100.0,3.02,18.34,,
004910,2013.0,-48.0,45.0,-2.38,2.22,2.38,72.89,51.4,2800.01,349.0,19.44,20016.0,0.34,200.0,2.95,45.31,,
000480,7052.0,229.0,397.0,3.25,5.63,5.55,70.11,72.54,3088.44,8391.0,9.61,192878.0,0.42,4200.0,5.21,40.04,,
013870,4458,-97,-80,-2.17,-1.79,-3.69,114.16,75.68,2231.45,-432,-18.38,11553,0.69,-,-,-,,
002380,50836.0,1338.0,5609.0,2.63,11.03,12.79,135.37,81.43,12809.93,67079.0,2.94,636034.0,0.31,5700.0,2.89,7.39,,
344820,7087.0,358.0,1324.0,5.06,18.69,,30.15,135.56,8171.23,14795.0,2.49,82781.0,0.44,2100.0,5.71,25.28,,
120110,39703.0,1632.0,2055.0,4.11,5.18,9.7,120.05,49.98,1459.78,6839.0,6.0,73257.0,0.56,1000.0,2.44,14.69,,
006890,471.0,77.0,77.0,16.37,16.43,6.37,13.27,552.73,1641.94,667.0,21.22,10958.0,1.29,200.0,1.41,29.31,,
069260,5935.0,952.0,498.0,16.05,8.39,7.51,26.11,447.87,1672.15,1213.0,21.15,17420.0,1.47,1000.0,3.9,77.38,,
001020,4841,346,2,7.15,0.05,1.18,1714.22,23.11,-48.68,7,350.82,749,3.29,,,-,,
009810,341,-23,36,-6.88,10.68,7.04,11.10,698.99,700.13,86,6.52,783,0.71,-,-,-,,
293480,1773.0,317.0,149.0,17.87,8.4,6.58,19.02,341.74,2823.05,838.0,28.03,13431.0,1.75,465.0,1.98,53.86,,
039130,1096,-1149,-2186,-104.83,-199.48,-108.93,461.20,92.16,2289.26,-12141,-4.51,9644,5.67,-,-,-,,
005430,3032,-506,-475,-16.68,-15.65,-15.94,56.07,215.45,1376.47,-14989,-2.51,89114,0.42,-,-,-,,
104700,6334.0,351.0,-85.0,5.54,-1.34,-1.19,24.68,321.37,1430.12,-184.0,-35.59,15435.0,0.42,200.0,3.06,-107.03,,
161890,13221.0,1217.0,1606.0,9.2,12.14,29.27,149.15,90.69,5337.63,7004.0,7.27,27258.0,1.87,345.0,0.68,4.93,,
053690,2326.0,165.0,104.0,7.09,4.46,7.84,69.79,137.18,2506.22,849.0,12.31,12665.0,0.83,300.0,2.87,30.38,,
004960,15569.0,1199.0,1054.0,7.7,6.77,18.96,179.36,108.45,890.23,9152.0,1.83,52870.0,0.32,400.0,2.39,4.37,,
001750,4771.0,643.0,459.0,13.47,9.63,14.22,460.49,,430.56,3465.0,2.66,26593.0,0.35,750.0,8.13,18.65,,
002320,22157.0,1059.0,91.0,4.78,0.41,0.74,206.05,56.77,1016.83,574.0,83.21,73015.0,0.65,600.0,1.26,120.71,,
003480,7952,504,-36,6.34,-0.45,-1.15,415.22,57.02,132.53,-129,-32.71,12631,0.33,-,-,-,,
267270,23905,874,85,3.66,0.36,-0.80,111.39,128.42,1089.30,-490,-66.86,63930,0.51,-,-,-,,
042670,39881,2644,2851,6.63,7.15,6.47,167.92,86.24,145.85,535,10.53,8337,0.68,,,-,,
322000,3944.0,88.0,62.0,2.23,1.58,1.93,39.39,186.25,479.0,556.0,71.71,29352.0,1.36,200.0,0.5,35.99,,
267260,18113,727,-402,4.01,-2.22,-5.84,234.62,73.91,244.25,-1117,-14.69,18870,0.87,-,-,-,,
004020,180234.0,730.0,-4401.0,0.4,-2.44,-2.59,108.74,70.69,2224.0,-3222.0,-12.29,124257.0,0.32,500.0,1.26,-15.3,,
013520,13133.0,137.0,-408.0,1.05,-3.1,-17.15,436.43,53.36,525.07,-628.0,-3.6,3603.0,0.63,25.0,1.1,-3.71,,
032560,2395.0,237.0,200.0,9.92,8.34,6.46,49.73,111.99,3553.1,986.0,6.76,15769.0,0.42,82.0,1.24,8.35,,
298040,29840,441,-193,1.48,-0.65,-2.48,282.49,52.80,1872.05,-2382,-26.11,94889,0.66,-,-,-,,
298050,23946,342,68,1.43,0.28,0.03,523.60,32.85,1262.48,18,8489.96,70017,2.13,-,-,-,,
001040,319991.0,13903.0,2040.0,4.35,0.64,1.89,159.97,73.36,2567.7,2430.0,37.91,138484.0,0.67,2000.0,2.17,77.52,,
016610,15774.0,1366.0,1069.0,8.66,6.78,12.86,980.15,,338.01,2271.0,2.05,19318.0,0.24,300.0,6.44,12.89,,
139130,58835.0,5031.0,3867.0,8.55,6.57,7.17,1286.53,,582.09,2023.0,3.36,29283.0,0.23,390.0,5.74,19.28,,
016380,23424.0,1108.0,669.0,4.73,2.86,7.18,132.11,69.3,74.82,668.0,17.37,9716.0,1.19,100.0,0.86,14.98,,
001940,10646.0,827.0,365.0,7.77,3.43,4.16,17.21,417.6,3556.89,1869.0,7.6,56231.0,0.25,300.0,2.11,13.03,,
034220,242616,-365,-761,-0.15,-0.31,-0.83,175.43,81.02,546.08,-265,-69.98,31847,0.58,-,-,-,,
373220,14611,-4752,-4518,-32.52,-30.92,,163.59,82.50,6778.41,-2278,,34398,-,,,-,,
006260,104443.0,4192.0,1947.0,4.01,1.86,3.94,162.12,105.92,1989.5,3939.0,18.12,117666.0,0.61,1450.0,2.03,31.74,,
108320,11619.0,942.0,725.0,8.11,6.24,14.44,41.02,236.22,6451.03,4459.0,13.05,32727.0,1.78,1350.0,2.32,30.27,,
001120,112826.0,1598.0,3616.0,1.42,3.21,23.71,206.88,98.61,664.66,7678.0,3.22,37205.0,0.66,400.0,1.62,4.83,,
010950,168297,-10991,-7961,-6.53,-4.73,-13.07,176.12,42.71,1841.16,-6827,-10.14,48810,1.42,-,-,-0.01,,
302440,2256,377,329,16.71,14.58,13.25,113.14,145.40,763.90,537,,4310,-,,,-,,
285130,11988.0,1554.0,2552.0,12.96,21.29,30.48,121.08,51.02,1375.17,12896.0,20.31,48707.0,5.38,1334.0,0.51,10.28,,
000660,319004.0,50126.0,47589.0,15.71,14.92,9.53,37.11,97.5,1398.15,6532.0,18.14,75860.0,1.56,1170.0,0.99,16.83,,
013580,22000.0,1748.0,954.0,7.95,4.34,18.69,241.62,89.37,1131.96,10532.0,2.66,62437.0,0.45,600.0,2.14,5.65,,
010130,75819.0,8974.0,5748.0,11.84,7.58,8.37,19.93,106.94,7415.21,30363.0,13.22,394347.0,1.02,15000.0,3.74,46.27,,
000270,591681.0,20665.0,14876.0,3.49,2.51,5.05,102.37,82.27,1350.39,3670.0,17.0,74556.0,0.84,1000.0,1.6,26.95,,
003920,9489.0,-767.0,-528.0,-8.09,-5.56,-5.91,14.64,230.88,20117.99,-59495.0,-4.79,1031726.0,0.28,1000.0,0.35,-1.62,,
025860,10098.0,264.0,250.0,2.61,2.48,5.65,30.14,103.41,826.12,504.0,16.29,9446.0,0.87,80.0,0.97,15.32,,
145210,768,-101,-388,-13.09,-50.48,-91.71,136.68,165.89,-6.12,-12078,-1.41,12560,1.35,-,-,-,,
001680,31132.0,1744.0,1270.0,5.6,4.08,12.02,129.53,107.38,3116.44,3473.0,7.5,30083.0,0.87,700.0,2.69,20.16,,
016710,8843.0,254.0,477.0,2.87,5.39,9.73,103.06,87.97,3157.93,2649.0,9.34,28431.0,0.87,250.0,1.01,9.44,,
042660,70302,1534,866,2.18,1.23,2.27,166.76,54.22,127.97,807,33.94,36066,0.76,-,-,-,,
084010,10961.0,818.0,531.0,7.46,4.84,10.21,72.3,71.67,2047.31,1977.0,5.26,22927.0,0.45,300.0,2.88,13.28,,
001790,12145.0,463.0,227.0,3.81,1.87,4.8,139.51,86.39,1462.04,235.0,9.76,5159.0,0.44,90.0,3.92,35.63,,
012510,3065.0,767.0,579.0,25.04,18.89,15.09,102.04,110.28,2608.19,1806.0,57.59,12758.0,8.15,450.0,0.43,29.51,,
071840,40517.0,1611.0,287.0,3.98,0.71,1.49,73.9,55.52,1531.79,1217.0,25.6,81582.0,0.38,1200.0,3.85,98.63,,
001080,1961.0,13.0,9.0,0.64,0.44,0.37,10.8,583.7,5933.52,209.0,109.57,76621.0,0.3,200.0,0.88,70.29,,
005360,1278,-,1,0.03,0.04,0.09,117.93,72.13,361.48,4,1334.49,4630,1.19,70,1.27,1701.54,,
