,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),ROE(%),주당배당금
002220,1571,-42,-48,-2.70,-3.05,-3.30,98.31,61.46,1107.05,-211,-8.81,6508,0.29,,,-,,
003300,15334.0,1571.0,1085.0,10.24,7.08,4.21,82.08,64.44,7586.26,1544.0,6.61,43197.0,0.24,477.0,4.67,29.92,,
009460,1715.0,172.0,106.0,10.06,6.18,11.72,91.2,95.82,217.52,177.0,14.03,1587.0,1.57,20.0,0.8,11.27,,
088350,262231.0,3437.0,2082.0,1.31,0.79,1.7,1030.97,,224.2,233.0,10.49,15807.0,0.15,30.0,1.23,11.15,,
143210,5727,-52,-82,-0.91,-1.43,-2.51,168.20,46.88,2841.85,-360,-23.14,13695,0.61,-,-,-2.99,,
000720,169709.0,5490.0,2277.0,3.23,1.34,1.84,104.64,189.4,1134.09,1097.0,33.23,59453.0,0.61,600.0,1.65,54.67,,
064350,27853,821,224,2.95,0.80,2.84,211.81,57.17,73.28,325,52.85,12493,1.38,-,-,-,,
004560,6802.0,334.0,236.0,4.91,3.47,5.68,51.34,164.94,463.04,1554.0,6.35,28211.0,0.35,100.0,1.01,6.46,,
005380,1039976.0,23947.0,19246.0,2.3,1.85,2.04,174.22,44.87,4909.48,5144.0,37.33,266968.0,0.72,3000.0,1.56,55.15,,
001500,8400.0,1174.0,843.0,13.98,10.04,8.2,760.2,,450.01,2175.0,5.79,27500.0,0.46,675.0,5.36,28.16,,
126560,396.0,-169.0,-406.0,-42.75,-102.49,-4.12,26.76,145.93,1203.81,-261.0,-14.75,6264.0,0.62,80.0,2.08,-29.87,,
111110,2925.0,15.0,-175.0,0.53,-6.0,-14.99,153.84,65.08,2768.85,-2005.0,-4.56,13144.0,0.7,200.0,2.19,-9.4,,
006840,26200.0,-2216.0,-2643.0,-8.46,-10.09,-20.12,228.84,49.24,944.07,-11504.0,-2.19,52722.0,0.48,400.0,1.59,-3.42,,
079160,5834,-3887,-7516,-66.62,-128.83,-314.44,1412.71,70.72,-1857.51,-22531,-1.12,3812,6.61,-,-,-,,
097950,242457.0,13596.0,7864.0,5.61,3.24,13.5,151.93,72.76,6940.18,41851.0,9.1,329172.0,1.16,4000.0,1.05,9.36,,
000590,1316.0,159.0,118.0,12.08,8.99,3.2,9.53,836.18,4150.19,6616.0,8.92,211368.0,0.28,500.0,0.85,7.51,,
007340,8031.0,696.0,484.0,8.66,6.03,7.48,46.91,118.33,18463.83,4596.0,5.6,72670.0,0.35,2000.0,7.77,37.53,,
069730,1762.0,35.0,53.0,2.01,3.0,3.67,41.02,92.68,1926.47,367.0,13.32,10157.0,0.48,40.0,0.82,10.91,,
007700,207.0,-44.0,854.0,-21.19,413.35,16.59,48.23,78.05,7178.25,5571.0,15.15,35987.0,2.35,1000.0,1.18,17.86,,
007070,88623.0,2526.0,1545.0,2.85,1.74,7.5,169.11,31.42,2908.21,2187.0,15.75,29928.0,1.15,900.0,2.61,41.15,,
012630,39519.0,5447.0,1913.0,13.78,4.84,4.72,121.33,147.0,1382.5,1734.0,6.37,40842.0,0.27,250.0,2.26,13.23,,
096760,7815.0,373.0,34.0,4.78,0.43,8.46,243.32,51.07,250.92,129.0,44.02,1553.0,3.65,85.0,1.5,65.83,,
