Image File,Y Channel Value
BookOfMaking.00012.02,219.27069091796875
BookOfMaking.00014.01,91.67141723632812
BookOfMaking.00021.02,226.31191635131836
BookOfMaking.00040.01,233.57927322387695
BookOfMaking.00048.01,241.51012802124023
BookOfMaking.00049.01,240.16034698486328
BookOfMaking.00066.02,123.77769470214844
BookOfMaking.00171.01,228.03059005737305
BookOfMaking.00171.02,229.81751251220703
BookOfMaking.00172.01,220.6595001220703
BookOfMaking.00180.02,216.26601791381836
BuildYourOwnFirstPersonShooterInUnity.00025.01,209.66976928710938
BuildYourOwnFirstPersonShooterInUnity.00043.01,241.93161010742188
BuildYourOwnFirstPersonShooterInUnity.00055.02,121.3744010925293
BuildYourOwnFirstPersonShooterInUnity.00060.01,241.46819686889648
BuildYourOwnFirstPersonShooterInUnity.00078.02,237.72520446777344
BuildYourOwnFirstPersonShooterInUnity.00087.01,227.91217422485352
BuildYourOwnFirstPersonShooterInUnity.00088.01,209.25252532958984
BuildYourOwnFirstPersonShooterInUnity.00104.02,240.33197021484375
BuildYourOwnFirstPersonShooterInUnity.00105.02,237.5213165283203
BuildYourOwnFirstPersonShooterInUnity.00109.01,166.31389236450195
BuildYourOwnFirstPersonShooterInUnity.00125.02,160.08914947509766
CreateGraphicalUserInterfacesWithPython.00031.01,230.17975616455078
CreateGraphicalUserInterfacesWithPython.00049.02,230.3546905517578
CreateGraphicalUserInterfacesWithPython.00072.01,228.59246444702148
CreateGraphicalUserInterfacesWithPython.00090.01,239.07562255859375
CreateGraphicalUserInterfacesWithPython.00099.02,240.1304054260254
CreateGraphicalUserInterfacesWithPython.00103.01,235.28174209594727
CreateGraphicalUserInterfacesWithPython.00104.01,234.2571907043457
CreateGraphicalUserInterfacesWithPython.00126.02,240.05145645141602
CreateGraphicalUserInterfacesWithPython.00148.01,194.05462265014648
EssentialsAIYProjectsVoice.00007.02,219.57651901245117
EssentialsAIYProjectsVoice.00026.02,191.0316925048828
EssentialsAIYProjectsVoice.00063.02,245.70144653320312
GetStartedArduino.00009.02,109.1532096862793
GetStartedArduino.00022.01,223.39883422851562
GetStartedArduino.00049.02,175.34745407104492
GetStartedArduino.00072.02,212.57470703125
GetStartedArduino.00095.02,194.60444259643555
GetStartedArduino.00104.01,212.98248291015625
GetStartedArduino.00148.01,226.45885848999023
GetStartedArduino.00166.02,118.83650970458984
GetStartedArduino.00167.02,123.11703491210938
GetStartedMicroPython.00026.02,230.99180603027344
GetStartedMicroPython.00038.01,223.4711799621582
GetStartedMicroPython.00047.02,238.2924041748047
GetStartedMicroPython.00064.02,236.61664199829102
GetStartedMicroPython.00065.01,243.61896896362305
GetStartedMicroPython.00076.01,242.1103057861328
GetStartedMicroPython.00101.01,184.95820999145508
GetStartedMicroPython.00139.01,191.4883918762207
HackSpace36.00023.01,214.46386337280273
HackSpace36.00029.02,212.9928970336914
HackSpace36.00038.02,90.5670166015625
HackSpace36.00039.02,109.87834548950195
HackSpace36.00043.02,116.87790298461914
HackSpace36.00072.02,240.32257080078125
HackSpace36.00079.01,133.49018096923828
HackSpace36.00089.01,158.0357894897461
HackSpace36.00104.02,208.2348518371582
HackSpace36.00115.01,63.616180419921875
HackSpace37.00004.02,138.34711837768555
HackSpace37.00015.02,107.91175079345703
HackSpace37.00037.01,98.68077850341797
HackSpace37.00062.02,26.701045989990234
HackSpace37.00112.02,230.5873680114746
HackSpace38.00001.02,137.22593307495117
HackSpace38.00063.01,188.81282806396484
HackSpace38.00064.02,121.02284622192383
HackSpace38.00073.02,198.7557601928711
HackSpace38.00077.02,241.07107543945312
HackSpace38.00095.02,205.78755950927734
HackSpace38.00105.02,173.2912368774414
HackSpace38.00112.01,226.47364044189453
HackSpace40.00041.01,151.4919090270996
HackSpace40.00052.02,160.44118118286133
HackSpace40.00060.02,172.14693450927734
HackSpace40.00067.02,189.01307678222656
HackSpace40.00069.01,204.28180313110352
HackSpace40.00077.02,243.1412239074707
HackSpace41.00021.01,131.46123123168945
HackSpace41.00035.02,123.20500564575195
HackSpace41.00046.01,135.3116111755371
HackSpace41.00051.01,152.37003326416016
HackSpace41.00078.01,206.5550537109375
HackSpace42.00007.01,184.34717178344727
HackSpace42.00030.02,234.19873809814453
HackSpace42.00038.01,130.7742805480957
HackSpace42.00049.02,95.95735168457031
HackSpace42.00061.01,98.01237487792969
